invid,classid,description,description,qty,tot,subclassid,name1,desc,i_desc,firsttransaction,sequence,txn_date
CHARCM,SERV,Services,,1,88.00,,Tudor Glen Veterinary Hospital,Charcoal Administered (Medium),Charcoal Administered (Medium),1456759,5,10/31/2025 18:15:33:419
CHARCM,SERV,Services,,1,88.00,,Tudor Glen Veterinary Hospital,Charcoal Administered (Medium),Charcoal Administered (Medium),1406169,5,3/31/2025 18:16:31:852
CHARCM,SERV,Services,,1,88.00,,Tudor Glen Veterinary Hospital,Charcoal Administered (Medium),Charcoal Administered (Medium),1449426,5,9/30/2025 18:33:25:34
CHARCM,SERV,Services,,2,176.00,,Tudor Glen Veterinary Hospital,Charcoal Administered (Medium),Charcoal Administered (Medium),1471068,5,12/31/2025 18:16:10:824
CLIPB,SERV,Services,,1,30.00,,Tudor Glen Veterinary Hospital,Clip fur (technologist),Clip fur (technologist),1420600,4,5/31/2025 18:04:44:559
CLIPB,SERV,Services,,1,30.00,,Tudor Glen Veterinary Hospital,Clip fur (technologist),Clip fur (technologist),1477746,4,1/31/2026 19:14:15:897
CLIPB,SERV,Services,,1,30.00,,Tudor Glen Veterinary Hospital,Clip fur (technologist),Clip fur (technologist),1435299,4,7/31/2025 18:27:44:508
CLIPB,SERV,Services,,2,60.00,,Tudor Glen Veterinary Hospital,Clip fur (technologist),Clip fur (technologist),1442263,4,8/30/2025 17:35:05:993
CLIPB,SERV,Services,,0.5,15.00,,Tudor Glen Veterinary Hospital,Clip fur (technologist),Clip fur (technologist),1471068,4,12/31/2025 18:16:10:824
CLIPC2,SERV,Services,,2.5,224.75,,Tudor Glen Veterinary Hospital,Clip and Clean Abscess/Wound per 10min,Clip and Clean Abscess/Wound ,1464415,6,11/29/2025 18:45:33:008
CLIPC2,SERV,Services,,2,179.80,,Tudor Glen Veterinary Hospital,Clip and Clean Abscess/Wound per 10min,Clip and Clean Abscess/Wound ,1420600,6,5/31/2025 18:04:44:559
CLIPC2,SERV,Services,,3,269.70,,Tudor Glen Veterinary Hospital,Clip and Clean Abscess/Wound per 10min,Clip and Clean Abscess/Wound ,1456759,6,10/31/2025 18:15:33:419
CLIPC2,SERV,Services,,9,809.10,,Tudor Glen Veterinary Hospital,Clip and Clean Abscess/Wound per 10min,Clip and Clean Abscess/Wound ,1427983,6,6/30/2025 18:30:05:565
CLIPC2,SERV,Services,,1,89.90,,Tudor Glen Veterinary Hospital,Clip and Clean Abscess/Wound per 10min,Clip and Clean Abscess/Wound ,1413429,6,4/30/2025 18:37:16:465
CLIPC2,SERV,Services,,2,179.80,,Tudor Glen Veterinary Hospital,Clip and Clean Abscess/Wound per 10min,Clip and Clean Abscess/Wound ,1435299,6,7/31/2025 18:27:44:508
CLIPC2,SERV,Services,,1,89.90,,Tudor Glen Veterinary Hospital,Clip and Clean Abscess/Wound per 10min,Clip and Clean Abscess/Wound ,1477746,6,1/31/2026 19:14:15:897
CLIPC2,SERV,Services,,1,89.90,,Tudor Glen Veterinary Hospital,Clip and Clean Abscess/Wound per 10min,Clip and Clean Abscess/Wound ,1442263,6,8/30/2025 17:35:05:993
CLIPC2,SERV,Services,,6,560.65,,Tudor Glen Veterinary Hospital,Clip and Clean Abscess/Wound per 10min,Clip and Clean Abscess/Wound ,1449426,6,9/30/2025 18:33:25:34
CLIPC2,SERV,Services,,3.25,292.18,,Tudor Glen Veterinary Hospital,Clip and Clean Abscess/Wound per 10min,Clip and Clean Abscess/Wound ,1485086,6,2/28/2026 19:09:20:447
COFFIC,SERV,Services,,154,15092.00,,Tudor Glen Veterinary Hospital,Health Exam - Canine,,1406169,13,3/31/2025 18:16:31:852
COFFIC,SERV,Services,,139,13622.00,,Tudor Glen Veterinary Hospital,Health Exam - Canine,,1442263,13,8/30/2025 17:35:05:993
COFFIC,SERV,Services,,188,18424.00,,Tudor Glen Veterinary Hospital,Health Exam - Canine,,1413429,13,4/30/2025 18:37:16:465
COFFIC,SERV,Services,,203,19894.00,,Tudor Glen Veterinary Hospital,Health Exam - Canine,,1449426,13,9/30/2025 18:33:25:34
COFFIC,SERV,Services,,188,18424.00,,Tudor Glen Veterinary Hospital,Health Exam - Canine,,1427983,13,6/30/2025 18:30:05:565
COFFIC,SERV,Services,,153,14994.00,,Tudor Glen Veterinary Hospital,Health Exam - Canine,,1471068,13,12/31/2025 18:16:10:824
COFFIC,SERV,Services,,132,12936.00,,Tudor Glen Veterinary Hospital,Health Exam - Canine,,1435299,13,7/31/2025 18:27:44:508
COFFIC,SERV,Services,,207,20286.00,,Tudor Glen Veterinary Hospital,Health Exam - Canine,,1456759,13,10/31/2025 18:15:33:419
COFFIC,SERV,Services,,149,14602.00,,Tudor Glen Veterinary Hospital,Health Exam - Canine,,1464415,13,11/29/2025 18:45:33:008
COFFIC,SERV,Services,,185,18130.00,,Tudor Glen Veterinary Hospital,Health Exam - Canine,,1477746,13,1/31/2026 19:14:15:897
COFFIC,SERV,Services,,141,13818.00,,Tudor Glen Veterinary Hospital,Health Exam - Canine,,1485086,14,2/28/2026 19:09:20:447
COFFIC,SERV,Services,,170,16632.00,,Tudor Glen Veterinary Hospital,Health Exam - Canine,,1420600,13,5/31/2025 18:04:44:559
COFFNS,SERV,Services,,20,2700.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1406169,11,3/31/2025 18:16:31:852
COFFNS,SERV,Services,,-1,-119.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1477746,9,1/31/2026 19:14:15:897
COFFNS,SERV,Services,,21,2835.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1485086,11,2/28/2026 19:09:20:447
COFFNS,SERV,Services,,4,540.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1420600,11,5/31/2025 18:04:44:559
COFFNS,SERV,Services,,15,2025.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1442263,11,8/30/2025 17:35:05:993
COFFNS,SERV,Services,,19,2565.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1456759,11,10/31/2025 18:15:33:419
COFFNS,SERV,Services,,24,3240.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1464415,11,11/29/2025 18:45:33:008
COFFNS,SERV,Services,,10,1350.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1477746,11,1/31/2026 19:14:15:897
COFFNS,SERV,Services,,24,3240.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1435299,11,7/31/2025 18:27:44:508
COFFNS,SERV,Services,,21,2835.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1413429,11,4/30/2025 18:37:16:465
COFFNS,SERV,Services,,7,945.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1427983,11,6/30/2025 18:30:05:565
COFFNS,SERV,Services,,15,2025.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1471068,11,12/31/2025 18:16:10:824
COFFNS,SERV,Services,,33,4455.00,,Tudor Glen Veterinary Hospital,Health Exam - Non-schedule appointment,,1449426,11,9/30/2025 18:33:25:34
CRECHE,SERV,Services,,29,2001.00,,Tudor Glen Veterinary Hospital,Health Exam  Recheck - Canine,,1485086,12,2/28/2026 19:09:20:447
CRECHE,SERV,Services,,43,2967.00,,Tudor Glen Veterinary Hospital,Health Exam  Recheck - Canine,,1427983,12,6/30/2025 18:30:05:565
CRECHE,SERV,Services,,29,2001.00,,Tudor Glen Veterinary Hospital,Health Exam  Recheck - Canine,,1435299,12,7/31/2025 18:27:44:508
CRECHE,SERV,Services,,19,1311.00,,Tudor Glen Veterinary Hospital,Health Exam  Recheck - Canine,,1442263,12,8/30/2025 17:35:05:993
CRECHE,SERV,Services,,37,2553.00,,Tudor Glen Veterinary Hospital,Health Exam  Recheck - Canine,,1464415,12,11/29/2025 18:45:33:008
CRECHE,SERV,Services,,26,1794.00,,Tudor Glen Veterinary Hospital,Health Exam  Recheck - Canine,,1456759,12,10/31/2025 18:15:33:419
CRECHE,SERV,Services,,26,1725.00,,Tudor Glen Veterinary Hospital,Health Exam  Recheck - Canine,,1471068,12,12/31/2025 18:16:10:824
CRECHE,SERV,Services,,29,1863.00,,Tudor Glen Veterinary Hospital,Health Exam  Recheck - Canine,,1449426,12,9/30/2025 18:33:25:34
CRECHE,SERV,Services,,34,2346.00,,Tudor Glen Veterinary Hospital,Health Exam  Recheck - Canine,,1413429,12,4/30/2025 18:37:16:465
CRECHE,SERV,Services,,45,3105.00,,Tudor Glen Veterinary Hospital,Health Exam  Recheck - Canine,,1406169,12,3/31/2025 18:16:31:852
CRECHE,SERV,Services,,36,2484.00,,Tudor Glen Veterinary Hospital,Health Exam  Recheck - Canine,,1420600,12,5/31/2025 18:04:44:559
CRECHE,SERV,Services,,39,2691.00,,Tudor Glen Veterinary Hospital,Health Exam  Recheck - Canine,,1477746,12,1/31/2026 19:14:15:897
CRI,SERV,Services,,1,49.20,,Tudor Glen Veterinary Hospital,CRI Add on (Surgery) Not including meds,CRI  Surgery,1464415,5,11/29/2025 18:45:33:008
CRIM,SERV,Services,,1,109.95,,Tudor Glen Veterinary Hospital,CRI Medical (not including meds),CRI Medical,1477746,4,1/31/2026 19:14:15:897
CSPCAO,SERV,Services,,1,0,,Tudor Glen Veterinary Hospital,Health Exam EHS Canine,,1449426,4,9/30/2025 18:33:25:34
CSPCAO,SERV,Services,,1,0,,Tudor Glen Veterinary Hospital,Health Exam EHS Canine,,1406169,4,3/31/2025 18:16:31:852
CSPCAO,SERV,Services,,1,0,,Tudor Glen Veterinary Hospital,Health Exam EHS Canine,,1420600,4,5/31/2025 18:04:44:559
CSPCAO,SERV,Services,,1,0,,Tudor Glen Veterinary Hospital,Health Exam EHS Canine,,1485086,4,2/28/2026 19:09:20:447
CSPCAO,SERV,Services,,2,0,,Tudor Glen Veterinary Hospital,Health Exam EHS Canine,,1442263,4,8/30/2025 17:35:05:993
CSPCAO,SERV,Services,,1,0,,Tudor Glen Veterinary Hospital,Health Exam EHS Canine,,1464415,4,11/29/2025 18:45:33:008
CSPCAO,SERV,Services,,1,0,,Tudor Glen Veterinary Hospital,Health Exam EHS Canine,,1456759,4,10/31/2025 18:15:33:419
CSPCAO,SERV,Services,,2,0,,Tudor Glen Veterinary Hospital,Health Exam EHS Canine,,1427983,4,6/30/2025 18:30:05:565
CVACB1,SERV,Services,,2,74.80,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Add On,Canine Bordetella (Kennel Cough),1471068,12,12/31/2025 18:16:10:824
CVACB1,SERV,Services,,5,187.00,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Add On,Canine Bordetella (Kennel Cough),1456759,12,10/31/2025 18:15:33:419
CVACB1,SERV,Services,,8,299.20,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Add On,Canine Bordetella (Kennel Cough),1406169,12,3/31/2025 18:16:31:852
CVACB1,SERV,Services,,2,74.80,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Add On,Canine Bordetella (Kennel Cough),1485086,12,2/28/2026 19:09:20:447
CVACB1,SERV,Services,,4,149.60,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Add On,Canine Bordetella (Kennel Cough),1477746,12,1/31/2026 19:14:15:897
CVACB1,SERV,Services,,1,37.40,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Add On,Canine Bordetella (Kennel Cough),1435299,12,7/31/2025 18:27:44:508
CVACB1,SERV,Services,,9,336.60,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Add On,Canine Bordetella (Kennel Cough),1464415,12,11/29/2025 18:45:33:008
CVACB1,SERV,Services,,8,299.20,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Add On,Canine Bordetella (Kennel Cough),1413429,12,4/30/2025 18:37:16:465
CVACB1,SERV,Services,,6,224.40,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Add On,Canine Bordetella (Kennel Cough),1420600,12,5/31/2025 18:04:44:559
CVACB1,SERV,Services,,6,224.40,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Add On,Canine Bordetella (Kennel Cough),1427983,12,6/30/2025 18:30:05:565
CVACB1,SERV,Services,,6,224.40,,Tudor Glen Veterinary Hospital,Canine Bordetella Injectable Add On,Canine Bordetella (Kennel Cough),1442263,12,8/30/2025 17:35:05:993
CVACB3,SERV,Services,,1,37.40,,Tudor Glen Veterinary Hospital,Canine Bordetella IntraNasal  Add on,Canine Bordetella (Kennel Cough),1420600,11,5/31/2025 18:04:44:559
CVACB3,SERV,Services,,1,37.40,,Tudor Glen Veterinary Hospital,Canine Bordetella IntraNasal  Add on,Canine Bordetella (Kennel Cough),1413429,11,4/30/2025 18:37:16:465
CVACB3,SERV,Services,,1,37.40,,Tudor Glen Veterinary Hospital,Canine Bordetella IntraNasal  Add on,Canine Bordetella (Kennel Cough),1427983,11,6/30/2025 18:30:05:565
CVACL2,SERV,Services,,3,112.20,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Add on,Canine Leptospirosis ,1427983,8,6/30/2025 18:30:05:565
CVACL2,SERV,Services,,4,149.60,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Add on,Canine Leptospirosis ,1442263,8,8/30/2025 17:35:05:993
CVACL2,SERV,Services,,1,37.40,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Add on,Canine Leptospirosis ,1413429,8,4/30/2025 18:37:16:465
CVACL2,SERV,Services,,1,37.40,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Add on,Canine Leptospirosis ,1406169,8,3/31/2025 18:16:31:852
CVACL2,SERV,Services,,1,37.40,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Add on,Canine Leptospirosis ,1435299,8,7/31/2025 18:27:44:508
CVACL2,SERV,Services,,1,37.40,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Add on,Canine Leptospirosis ,1420600,8,5/31/2025 18:04:44:559
CVACL2,SERV,Services,,1,37.40,,Tudor Glen Veterinary Hospital,Canine Leptospirosis Add on,Canine Leptospirosis ,1477746,8,1/31/2026 19:14:15:897
DENTCOC,SERV,Services,,1,0,,Tudor Glen Veterinary Hospital,Dental Consultation ($30)- Complimentary,Dental Consultation ($30)- Complimentary,1406169,2,3/31/2025 18:16:31:852
DENTCOC,SERV,Services,,1,0,,Tudor Glen Veterinary Hospital,Dental Consultation ($30)- Complimentary,Dental Consultation ($30)- Complimentary,1442263,2,8/30/2025 17:35:05:993
DENTCOC,SERV,Services,,1,0,,Tudor Glen Veterinary Hospital,Dental Consultation ($30)- Complimentary,Dental Consultation ($30)- Complimentary,1420600,2,5/31/2025 18:04:44:559
DENXR6,SERV,Services,,5,975.00,,Tudor Glen Veterinary Hospital,Extractions - Carnassial,Extractions - Carnassial,1449426,5,9/30/2025 18:33:25:34
DENXR6,SERV,Services,,10,1950.00,,Tudor Glen Veterinary Hospital,Extractions - Carnassial,Extractions - Carnassial,1477746,5,1/31/2026 19:14:15:897
DENXR6,SERV,Services,,3,585.00,,Tudor Glen Veterinary Hospital,Extractions - Carnassial,Extractions - Carnassial,1420600,5,5/31/2025 18:04:44:559
DENXR6,SERV,Services,,4,780.00,,Tudor Glen Veterinary Hospital,Extractions - Carnassial,Extractions - Carnassial,1442263,5,8/30/2025 17:35:05:993
DENXR6,SERV,Services,,2,390.00,,Tudor Glen Veterinary Hospital,Extractions - Carnassial,Extractions - Carnassial,1427983,5,6/30/2025 18:30:05:565
DENXR6,SERV,Services,,4,780.00,,Tudor Glen Veterinary Hospital,Extractions - Carnassial,Extractions - Carnassial,1464415,5,11/29/2025 18:45:33:008
DENXR6,SERV,Services,,4,780.00,,Tudor Glen Veterinary Hospital,Extractions - Carnassial,Extractions - Carnassial,1485086,5,2/28/2026 19:09:20:447
DENXR6,SERV,Services,,9,1755.00,,Tudor Glen Veterinary Hospital,Extractions - Carnassial,Extractions - Carnassial,1471068,5,12/31/2025 18:16:10:824
DENXR6,SERV,Services,,5,975.00,,Tudor Glen Veterinary Hospital,Extractions - Carnassial,Extractions - Carnassial,1456759,5,10/31/2025 18:15:33:419
DENXR6,SERV,Services,,7,1365.00,,Tudor Glen Veterinary Hospital,Extractions - Carnassial,Extractions - Carnassial,1413429,5,4/30/2025 18:37:16:465
DENXR6,SERV,Services,,8,1560.00,,Tudor Glen Veterinary Hospital,Extractions - Carnassial,Extractions - Carnassial,1406169,5,3/31/2025 18:16:31:852
DENXR6,SERV,Services,,6,1170.00,,Tudor Glen Veterinary Hospital,Extractions - Carnassial,Extractions - Carnassial,1435299,5,7/31/2025 18:27:44:508
DISCNT,SERV,Services,,1,-75.00,,Tudor Glen Veterinary Hospital,Discount,Discount,1485086,2,2/28/2026 19:09:20:447
DISCNT,SERV,Services,,3,-124.00,,Tudor Glen Veterinary Hospital,Discount,Discount,1464415,2,11/29/2025 18:45:33:008
DISCNT,SERV,Services,,2,-150.00,,Tudor Glen Veterinary Hospital,Discount,Discount,1471068,2,12/31/2025 18:16:10:824
DISCNT,SERV,Services,,2,-150.00,,Tudor Glen Veterinary Hospital,Discount,Discount,1427983,2,6/30/2025 18:30:05:565
EARCL,SERV,Services,,2,150.00,,Tudor Glen Veterinary Hospital,Ear Pluck and Minor Clean,Ear Pluck and Minor Clean,1477746,7,1/31/2026 19:14:15:897
EARCL,SERV,Services,,1,75.00,,Tudor Glen Veterinary Hospital,Ear Pluck and Minor Clean,Ear Pluck and Minor Clean,1464415,7,11/29/2025 18:45:33:008
EARCL,SERV,Services,,2,150.00,,Tudor Glen Veterinary Hospital,Ear Pluck and Minor Clean,Ear Pluck and Minor Clean,1485086,7,2/28/2026 19:09:20:447
EARCL,SERV,Services,,1,75.00,,Tudor Glen Veterinary Hospital,Ear Pluck and Minor Clean,Ear Pluck and Minor Clean,1449426,7,9/30/2025 18:33:25:34
EARCL,SERV,Services,,5,375.00,,Tudor Glen Veterinary Hospital,Ear Pluck and Minor Clean,Ear Pluck and Minor Clean,1435299,7,7/31/2025 18:27:44:508
EARCL,SERV,Services,,1,75.00,,Tudor Glen Veterinary Hospital,Ear Pluck and Minor Clean,Ear Pluck and Minor Clean,1471068,7,12/31/2025 18:16:10:824
EARCL3,SERV,Services,,4,100.00,,Tudor Glen Veterinary Hospital,Ear Clean (Routine add on),Ear Clean (Routine add on),1449426,6,9/30/2025 18:33:25:34
EARCL3,SERV,Services,,7,175.00,,Tudor Glen Veterinary Hospital,Ear Clean (Routine add on),Ear Clean (Routine add on),1471068,6,12/31/2025 18:16:10:824
EARCL3,SERV,Services,,6,150.00,,Tudor Glen Veterinary Hospital,Ear Clean (Routine add on),Ear Clean (Routine add on),1464415,6,11/29/2025 18:45:33:008
EARCL3,SERV,Services,,2,50.00,,Tudor Glen Veterinary Hospital,Ear Clean (Routine add on),Ear Clean (Routine add on),1413429,6,4/30/2025 18:37:16:465
EARCL3,SERV,Services,,5,125.00,,Tudor Glen Veterinary Hospital,Ear Clean (Routine add on),Ear Clean (Routine add on),1435299,6,7/31/2025 18:27:44:508
EARCL3,SERV,Services,,11.5,287.50,,Tudor Glen Veterinary Hospital,Ear Clean (Routine add on),Ear Clean (Routine add on),1442263,6,8/30/2025 17:35:05:993
EARCL3,SERV,Services,,7,175.00,,Tudor Glen Veterinary Hospital,Ear Clean (Routine add on),Ear Clean (Routine add on),1477746,6,1/31/2026 19:14:15:897
EARCL3,SERV,Services,,4,100.00,,Tudor Glen Veterinary Hospital,Ear Clean (Routine add on),Ear Clean (Routine add on),1427983,6,6/30/2025 18:30:05:565
EARCL3,SERV,Services,,2,50.00,,Tudor Glen Veterinary Hospital,Ear Clean (Routine add on),Ear Clean (Routine add on),1420600,6,5/31/2025 18:04:44:559
EARCL3,SERV,Services,,4,100.00,,Tudor Glen Veterinary Hospital,Ear Clean (Routine add on),Ear Clean (Routine add on),1485086,6,2/28/2026 19:09:20:447
EARCL3,SERV,Services,,5,125.00,,Tudor Glen Veterinary Hospital,Ear Clean (Routine add on),Ear Clean (Routine add on),1456759,6,10/31/2025 18:15:33:419
EARCL4,SERV,Services,,4,196.00,,Tudor Glen Veterinary Hospital,Ear Clean - Minor,Ear Clean - Minor,1449426,6,9/30/2025 18:33:25:34
EARCL4,SERV,Services,,4,196.00,,Tudor Glen Veterinary Hospital,Ear Clean - Minor,Ear Clean - Minor,1413429,6,4/30/2025 18:37:16:465
EARCL4,SERV,Services,,1,49.00,,Tudor Glen Veterinary Hospital,Ear Clean - Minor,Ear Clean - Minor,1420600,6,5/31/2025 18:04:44:559
EARCL4,SERV,Services,,4,196.00,,Tudor Glen Veterinary Hospital,Ear Clean - Minor,Ear Clean - Minor,1435299,6,7/31/2025 18:27:44:508
EARCL4,SERV,Services,,3,133.00,,Tudor Glen Veterinary Hospital,Ear Clean - Minor,Ear Clean - Minor,1427983,6,6/30/2025 18:30:05:565
EARCL4,SERV,Services,,6,294.00,,Tudor Glen Veterinary Hospital,Ear Clean - Minor,Ear Clean - Minor,1471068,6,12/31/2025 18:16:10:824
EARCL4,SERV,Services,,7,343.00,,Tudor Glen Veterinary Hospital,Ear Clean - Minor,Ear Clean - Minor,1442263,6,8/30/2025 17:35:05:993
EARCL4,SERV,Services,,3,147.00,,Tudor Glen Veterinary Hospital,Ear Clean - Minor,Ear Clean - Minor,1464415,6,11/29/2025 18:45:33:008
EARCL4,SERV,Services,,8,392.00,,Tudor Glen Veterinary Hospital,Ear Clean - Minor,Ear Clean - Minor,1477746,6,1/31/2026 19:14:15:897
EARCL4,SERV,Services,,5,245.00,,Tudor Glen Veterinary Hospital,Ear Clean - Minor,Ear Clean - Minor,1406169,6,3/31/2025 18:16:31:852
EARCL4,SERV,Services,,7,343.00,,Tudor Glen Veterinary Hospital,Ear Clean - Minor,Ear Clean - Minor,1456759,6,10/31/2025 18:15:33:419
EARCL4,SERV,Services,,3,147.00,,Tudor Glen Veterinary Hospital,Ear Clean - Minor,Ear Clean - Minor,1485086,6,2/28/2026 19:09:20:447
EARFL3,SERV,Services,,1,69.00,,Tudor Glen Veterinary Hospital,Ear Clean - Major,Ear Clean - Major,1485086,7,2/28/2026 19:09:20:447
EARFL3,SERV,Services,,1,69.00,,Tudor Glen Veterinary Hospital,Ear Clean - Major,Ear Clean - Major,1413429,7,4/30/2025 18:37:16:465
EEXAM,SERV,Services,,1,98.00,,Tudor Glen Veterinary Hospital,Health Exam - Exotic,,1435299,12,7/31/2025 18:27:44:508
EEXAM,SERV,Services,,2,196.00,,Tudor Glen Veterinary Hospital,Health Exam - Exotic,,1406169,12,3/31/2025 18:16:31:852
EEXAM,SERV,Services,,3,294.00,,Tudor Glen Veterinary Hospital,Health Exam - Exotic,,1456759,12,10/31/2025 18:15:33:419
EEXAM,SERV,Services,,2,196.00,,Tudor Glen Veterinary Hospital,Health Exam - Exotic,,1427983,12,6/30/2025 18:30:05:565
EEXAM,SERV,Services,,4,392.00,,Tudor Glen Veterinary Hospital,Health Exam - Exotic,,1477746,12,1/31/2026 19:14:15:897
EEXAM,SERV,Services,,1,98.00,,Tudor Glen Veterinary Hospital,Health Exam - Exotic,,1471068,12,12/31/2025 18:16:10:824
EEXAM,SERV,Services,,1,98.00,,Tudor Glen Veterinary Hospital,Health Exam - Exotic,,1420600,12,5/31/2025 18:04:44:559
EEXAM1,SERV,Services,,3,207.00,,Tudor Glen Veterinary Hospital,Health Exam Exotic Recheck,,1456759,8,10/31/2025 18:15:33:419
EEXAM1,SERV,Services,,2,138.00,,Tudor Glen Veterinary Hospital,Health Exam Exotic Recheck,,1477746,8,1/31/2026 19:14:15:897
EMERT,SERV,Services,,1,0,,Tudor Glen Veterinary Hospital,Emergency Treatment-CPR /Medication,Emergency Treatment,1413429,9,4/30/2025 18:37:16:465
EMERT,SERV,Services,,1,0,,Tudor Glen Veterinary Hospital,Emergency Treatment-CPR /Medication,Emergency Treatment,1485086,9,2/28/2026 19:09:20:447
EMERT,SERV,Services,,1,250.00,,Tudor Glen Veterinary Hospital,Emergency Treatment-CPR /Medication,Emergency Treatment,1406169,9,3/31/2025 18:16:31:852
EMERT,SERV,Services,,1,250.00,,Tudor Glen Veterinary Hospital,Emergency Treatment-CPR /Medication,Emergency Treatment,1477746,9,1/31/2026 19:14:15:897
EMERT,SERV,Services,,1,250.00,,Tudor Glen Veterinary Hospital,Emergency Treatment-CPR /Medication,Emergency Treatment,1420600,9,5/31/2025 18:04:44:559
ENAILA,SERV,Services,,1,20.00,,Tudor Glen Veterinary Hospital,Exotic - Nail trim (add on),Exotic - Nail trim (add on),1435299,4,7/31/2025 18:27:44:508
ENAILA,SERV,Services,,1,20.00,,Tudor Glen Veterinary Hospital,Exotic - Nail trim (add on),Exotic - Nail trim (add on),1449426,4,9/30/2025 18:33:25:34
ENAILA,SERV,Services,,1,20.00,,Tudor Glen Veterinary Hospital,Exotic - Nail trim (add on),Exotic - Nail trim (add on),1456759,4,10/31/2025 18:15:33:419
ENAILA,SERV,Services,,1,20.00,,Tudor Glen Veterinary Hospital,Exotic - Nail trim (add on),Exotic - Nail trim (add on),1427983,4,6/30/2025 18:30:05:565
ENAILT,SERV,Services,,1,27.50,,Tudor Glen Veterinary Hospital,Exotic - Nail Trim, ,1449426,7,9/30/2025 18:33:25:34
ENAILT,SERV,Services,,2,55.00,,Tudor Glen Veterinary Hospital,Exotic - Nail Trim, ,1485086,7,2/28/2026 19:09:20:447
ENAILT,SERV,Services,,1,27.50,,Tudor Glen Veterinary Hospital,Exotic - Nail Trim, ,1427983,7,6/30/2025 18:30:05:565
ENAILT,SERV,Services,,3,82.50,,Tudor Glen Veterinary Hospital,Exotic - Nail Trim, ,1464415,7,11/29/2025 18:45:33:008
ENAILT,SERV,Services,,2,55.00,,Tudor Glen Veterinary Hospital,Exotic - Nail Trim, ,1442263,7,8/30/2025 17:35:05:993
ENAILT,SERV,Services,,1,27.50,,Tudor Glen Veterinary Hospital,Exotic - Nail Trim, ,1456759,7,10/31/2025 18:15:33:419
ENAILT,SERV,Services,,1,27.50,,Tudor Glen Veterinary Hospital,Exotic - Nail Trim, ,1471068,7,12/31/2025 18:16:10:824
ENAILT,SERV,Services,,2,55.00,,Tudor Glen Veterinary Hospital,Exotic - Nail Trim, ,1477746,7,1/31/2026 19:14:15:897
ENAILT,SERV,Services,,1,27.50,,Tudor Glen Veterinary Hospital,Exotic - Nail Trim, ,1406169,7,3/31/2025 18:16:31:852
ENEM1,SERV,Services,,1,92.70,,Tudor Glen Veterinary Hospital,Enema - first,Enema - first,1442263,9,8/30/2025 17:35:05:993
ENEM1,SERV,Services,,4,370.80,,Tudor Glen Veterinary Hospital,Enema - first,Enema - first,1456759,9,10/31/2025 18:15:33:419
ENEM1,SERV,Services,,2,185.40,,Tudor Glen Veterinary Hospital,Enema - first,Enema - first,1449426,9,9/30/2025 18:33:25:34
ENEM1,SERV,Services,,1,92.70,,Tudor Glen Veterinary Hospital,Enema - first,Enema - first,1464415,9,11/29/2025 18:45:33:008
ENEM1,SERV,Services,,3,278.10,,Tudor Glen Veterinary Hospital,Enema - first,Enema - first,1435299,9,7/31/2025 18:27:44:508
ENEM1,SERV,Services,,2,185.40,,Tudor Glen Veterinary Hospital,Enema - first,Enema - first,1485086,9,2/28/2026 19:09:20:447
ENEM1,SERV,Services,,4,370.80,,Tudor Glen Veterinary Hospital,Enema - first,Enema - first,1406169,9,3/31/2025 18:16:31:852
ENEM2,SERV,Services,,1,69.90,,Tudor Glen Veterinary Hospital,Enema - additional,Enema - additional,1413429,8,4/30/2025 18:37:16:465
ENEMA3,SERV,Services,,1,130.00,,Tudor Glen Veterinary Hospital,Enema - Manual Breakdown,,1427983,6,6/30/2025 18:30:05:565
